taxon	n_snp	or_displayed	lci	uci	b_recon	se_recon	p_stored	p_recon	log10p_delta	qc
family.Clostridiaceae1.id.1869	10	0.93	0.79	1.08	-0.079381	0.079768	0.3346195781602139	0.31966400399599604	0.0199	PASS
phylum.Proteobacteria.id.2375	12	1.07	0.93	1.24	0.07127	0.07339	0.3362462127682497	0.33148714008191305	0.0062	PASS
genus.LachnospiraceaeNK4A136group.id.11319	15	1.06	0.94	1.21	0.064372	0.064413	0.3364916988074934	0.31761781195637784	0.0251	PASS
genus.Escherichia.Shigella.id.3504	10	1.07	0.93	1.24	0.07127	0.07339	0.3406956844384534	0.33148714008191305	0.0119	PASS
genus.Bilophila.id.3170	13	0.93	0.79	1.09	-0.074772	0.082119	0.3537630235244993	0.3625390209427891	0.0106	PASS
genus.Intestinimonas.id.2062	16	0.94	0.84	1.07	-0.053347	0.061739	0.3543429883126912	0.38754374737040953	0.0389	PASS
genus..Eubacteriumventriosumgroup.id.11341	15	0.91	0.73	1.12	-0.100691	0.109196	0.3709220726573821	0.35646858408481075	0.0173	PASS
genus.unknowngenus.id.2041	12	0.95	0.84	1.07	-0.053347	0.061739	0.3760956066374858	0.38754374737040953	0.013	PASS
genus..Ruminococcusgnavusgroup.id.14376	11	0.96	0.87	1.05	-0.045236	0.047973	0.3858232403137361	0.345712404029499	0.0477	PASS
genus.Holdemanella.id.11393	11	0.96	0.87	1.06	-0.040497	0.050391	0.4051190249720142	0.42160525661732107	0.0173	PASS
order.Lactobacillales.id.1800	15	1.06	0.93	1.21	0.059025	0.067142	0.405640599396092	0.3793432615433744	0.0291	PASS
family.ClostridialesvadinBB60group.id.11286	15	1.04	0.94	1.16	0.043272	0.053648	0.4079167354456287	0.4198969014781625	0.0126	PASS
genus.unknowngenus.id.1000000073	15	1.04	0.94	1.16	0.043272	0.053648	0.4079167354456287	0.4198969014781625	0.0126	PASS
phylum.Lentisphaerae.id.2238	9	1.07	0.91	1.24	0.0604	0.078936	0.4176237693913404	0.44416157288161073	0.0268	PASS
phylum.Tenericutes.id.3919	13	0.95	0.85	1.07	-0.04743	0.05872	0.4199118316058932	0.419242525506749	0.0007	PASS
class.Mollicutes.id.3920	13	0.95	0.85	1.07	-0.04743	0.05872	0.4199118316058932	0.419242525506749	0.0007	PASS
genus.LachnospiraceaeUCG004.id.11324	14	0.94	0.82	1.09	-0.056137	0.072611	0.4319303672608775	0.4394525650357246	0.0075	PASS
genus.Parabacteroides.id.954	6	0.92	0.75	1.13	-0.082732	0.104568	0.4352188796469131	0.4288391081307662	0.0064	PASS
family.Veillonellaceae.id.2172	19	1.04	0.94	1.15	0.038943	0.051439	0.4484834449989495	0.44900428288171	0.0005	PASS
genus..Eubacteriumoxidoreducensgroup.id.11339	5	1.05	0.92	1.2	0.04947	0.067783	0.4497923041131856	0.4654927365181383	0.0149	PASS
family.Desulfovibrionaceae.id.3169	10	0.94	0.8	1.1	-0.063917	0.08124	0.4581601390088228	0.43141842271787245	0.0261	PASS
genus..Eubacteriumbrachygroup.id.11296	10	1.04	0.94	1.14	0.034576	0.049211	0.4583341193052064	0.48229537544052237	0.0221	PASS
genus.Paraprevotella.id.962	13	0.97	0.88	1.06	-0.034782	0.047476	0.4639453775250614	0.4637850110367351	0.0002	PASS
