taxon	n_snp	or_displayed	lci	uci	b_recon	se_recon	p_stored	p_recon	log10p_delta	qc
genus.unknowngenus.id.959	13	0.99	0.91	1.07	-0.013326	0.041319	0.7436289283312418	0.7470649915010902	0.002	PASS
genus.Peptococcus.id.2037	13	1.01	0.93	1.1	0.01137	0.042828	0.7500883334542338	0.7906417256021473	0.0229	PASS
genus.unknowngenus.id.1000005479	8	0.98	0.87	1.11	-0.017451	0.06215	0.7634272438120875	0.7788710934657221	0.0087	PASS
family.BacteroidalesS24.7group.id.11173	8	0.98	0.87	1.11	-0.017451	0.06215	0.7634272438120875	0.7788710934657221	0.0087	PASS
genus.unknowngenus.id.1000006162	12	1.01	0.93	1.1	0.01137	0.042828	0.7639597687642738	0.7906417256021473	0.0149	PASS
order.NB1n.id.3953	12	1.01	0.93	1.1	0.01137	0.042828	0.7639597687642738	0.7906417256021473	0.0149	PASS
family.unknownfamily.id.1000006161	12	1.01	0.93	1.1	0.01137	0.042828	0.7639597687642738	0.7906417256021473	0.0149	PASS
genus.Barnesiella.id.944	13	0.98	0.82	1.16	-0.025015	0.088489	0.7799322152215513	0.7774103238818095	0.0014	PASS
genus.Romboutsia.id.11347	14	1.02	0.9	1.15	0.017201	0.062532	0.7919207535958961	0.7832633263486395	0.0048	PASS
genus.Clostridiumsensustricto1.id.1873	7	0.98	0.83	1.15	-0.023284	0.083188	0.7922071970271891	0.7795592312967127	0.007	PASS
genus.Subdoligranulum.id.2070	10	0.98	0.81	1.17	-0.026859	0.093809	0.8107455975133289	0.7746393291081444	0.0198	PASS
genus..Eubacteriumruminantiumgroup.id.11340	18	0.99	0.91	1.08	-0.008675	0.043693	0.8131477624473064	0.8426208603193384	0.0155	PASS
genus.Alloprevotella.id.961	5	1.01	0.9	1.15	0.017201	0.062532	0.8214028554754125	0.7832633263486395	0.0206	PASS
genus.Odoribacter.id.952	7	0.98	0.8	1.2	-0.020411	0.103437	0.8224921828188833	0.8435708290958926	0.011	PASS
class.Bacilli.id.1673	18	0.99	0.88	1.11	-0.011737	0.059234	0.8245466660218198	0.8429350734252937	0.0096	PASS
genus.Ruminiclostridium9.id.11357	9	1.02	0.84	1.24	0.020379	0.099355	0.825167442174739	0.8374840178628877	0.0064	PASS
class.Verrucomicrobiae.id.4029	12	0.99	0.87	1.12	-0.012967	0.064438	0.8275003233826146	0.8405197932566287	0.0068	PASS
order.Verrucomicrobiales.id.4030	12	0.99	0.87	1.12	-0.012967	0.064438	0.8275003233826146	0.8405197932566287	0.0068	PASS
